target,symbol,mae__mae,mae__mse,mae__rmse,mae__direction_accuracy,mae__pearson_ic,mae__spearman_rho,mae__cosine_similarity,mae__std_gap,mae__l1_divergence,mae__dwt_distance,mae__kl_divergence,mae__wasserstein,mse__mae,mse__mse,mse__rmse,mse__direction_accuracy,mse__pearson_ic,mse__spearman_rho,mse__cosine_similarity,mse__std_gap,mse__l1_divergence,mse__dwt_distance,mse__kl_divergence,mse__wasserstein,rmse__mae,rmse__mse,rmse__rmse,rmse__direction_accuracy,rmse__pearson_ic,rmse__spearman_rho,rmse__cosine_similarity,rmse__std_gap,rmse__l1_divergence,rmse__dwt_distance,rmse__kl_divergence,rmse__wasserstein,direction_accuracy__mae,direction_accuracy__mse,direction_accuracy__rmse,direction_accuracy__direction_accuracy,direction_accuracy__pearson_ic,direction_accuracy__spearman_rho,direction_accuracy__cosine_similarity,direction_accuracy__std_gap,direction_accuracy__l1_divergence,direction_accuracy__dwt_distance,direction_accuracy__kl_divergence,direction_accuracy__wasserstein,pearson_ic__mae,pearson_ic__mse,pearson_ic__rmse,pearson_ic__direction_accuracy,pearson_ic__pearson_ic,pearson_ic__spearman_rho,pearson_ic__cosine_similarity,pearson_ic__std_gap,pearson_ic__l1_divergence,pearson_ic__dwt_distance,pearson_ic__kl_divergence,pearson_ic__wasserstein,spearman_rho__mae,spearman_rho__mse,spearman_rho__rmse,spearman_rho__direction_accuracy,spearman_rho__pearson_ic,spearman_rho__spearman_rho,spearman_rho__cosine_similarity,spearman_rho__std_gap,spearman_rho__l1_divergence,spearman_rho__dwt_distance,spearman_rho__kl_divergence,spearman_rho__wasserstein,cosine_similarity__mae,cosine_similarity__mse,cosine_similarity__rmse,cosine_similarity__direction_accuracy,cosine_similarity__pearson_ic,cosine_similarity__spearman_rho,cosine_similarity__cosine_similarity,cosine_similarity__std_gap,cosine_similarity__l1_divergence,cosine_similarity__dwt_distance,cosine_similarity__kl_divergence,cosine_similarity__wasserstein,std_gap__mae,std_gap__mse,std_gap__rmse,std_gap__direction_accuracy,std_gap__pearson_ic,std_gap__spearman_rho,std_gap__cosine_similarity,std_gap__std_gap,std_gap__l1_divergence,std_gap__dwt_distance,std_gap__kl_divergence,std_gap__wasserstein,l1_divergence__mae,l1_divergence__mse,l1_divergence__rmse,l1_divergence__direction_accuracy,l1_divergence__pearson_ic,l1_divergence__spearman_rho,l1_divergence__cosine_similarity,l1_divergence__std_gap,l1_divergence__l1_divergence,l1_divergence__dwt_distance,l1_divergence__kl_divergence,l1_divergence__wasserstein,dwt_distance__mae,dwt_distance__mse,dwt_distance__rmse,dwt_distance__direction_accuracy,dwt_distance__pearson_ic,dwt_distance__spearman_rho,dwt_distance__cosine_similarity,dwt_distance__std_gap,dwt_distance__l1_divergence,dwt_distance__dwt_distance,dwt_distance__kl_divergence,dwt_distance__wasserstein,kl_divergence__mae,kl_divergence__mse,kl_divergence__rmse,kl_divergence__direction_accuracy,kl_divergence__pearson_ic,kl_divergence__spearman_rho,kl_divergence__cosine_similarity,kl_divergence__std_gap,kl_divergence__l1_divergence,kl_divergence__dwt_distance,kl_divergence__kl_divergence,kl_divergence__wasserstein,wasserstein__mae,wasserstein__mse,wasserstein__rmse,wasserstein__direction_accuracy,wasserstein__pearson_ic,wasserstein__spearman_rho,wasserstein__cosine_similarity,wasserstein__std_gap,wasserstein__l1_divergence,wasserstein__dwt_distance,wasserstein__kl_divergence,wasserstein__wasserstein
close_log_return,KO,1.0,0.921113,0.921113,0.1178755,0.261493,0.253358,0.215007,0.39344,0.664146,0.743,0.443644,0.5188795,0.921113,1.0,0.9999995,0.1238125,0.2653525,0.257729,0.2105725,0.39442,0.661605,0.7715635,0.4376365,0.511829,0.921113,0.9999995,1.0,0.1238125,0.2653525,0.257729,0.2105725,0.39442,0.661605,0.7715635,0.437637,0.5118295,0.1178755,0.1238125,0.1238125,1.0,0.4008405,0.3764505,0.4738255,0.1743405,0.185362,0.1302545,0.024989,0.088304,0.261493,0.2653525,0.2653525,0.4008405,1.0,0.809559,0.6960875,0.2002225,0.260291,0.2701235,0.201791,0.2014545,0.253358,0.257729,0.257729,0.3764505,0.809559,1.0,0.65455,0.198939,0.2513895,0.262591,0.2034175,0.199891,0.215007,0.2105725,0.2105725,0.4738255,0.6960875,0.65455,1.0,0.2074145,0.2980335,0.226289,0.1725175,0.1462945,0.39344,0.39442,0.39442,0.1743405,0.2002225,0.198939,0.2074145,1.0,0.168388,0.3308705,0.3205315,0.363275,0.664146,0.661605,0.661605,0.185362,0.260291,0.2513895,0.2980335,0.168388,1.0,0.61371,0.3305005,0.2667255,0.743,0.7715635,0.7715635,0.1302545,0.2701235,0.262591,0.226289,0.3308705,0.61371,1.0,0.4218605,0.486583,0.443644,0.4376365,0.437637,0.024989,0.201791,0.2034175,0.1725175,0.3205315,0.3305005,0.4218605,1.0,0.50967,0.5188795,0.511829,0.5118295,0.088304,0.2014545,0.199891,0.1462945,0.363275,0.2667255,0.486583,0.50967,1.0
close_log_return,SO,1.0,0.922844,0.922844,0.12122,0.258355,0.252497,0.216491,0.1672385,0.6645925,0.753517,0.443959,0.486016,0.922844,1.0,0.9999995,0.1228545,0.26473,0.2612875,0.2084555,0.1760445,0.660654,0.769999,0.4397555,0.480586,0.922844,0.9999995,1.0,0.1228545,0.26473,0.261288,0.2084555,0.1760445,0.660654,0.769999,0.439755,0.4805855,0.12122,0.1228545,0.1228545,1.0,0.4179135,0.384745,0.45469,0.1802355,0.1768795,0.1298535,0.091322,0.104805,0.258355,0.26473,0.26473,0.4179135,1.0,0.7996545,0.6602265,0.202168,0.26082,0.263347,0.1996905,0.2002465,0.252497,0.2612875,0.261288,0.384745,0.7996545,1.0,0.623465,0.200977,0.250667,0.253291,0.205191,0.202933,0.216491,0.2084555,0.2084555,0.45469,0.6602265,0.623465,1.0,0.2000765,0.3138235,0.222527,0.1777845,0.139372,0.1672385,0.1760445,0.1760445,0.1802355,0.202168,0.200977,0.2000765,1.0,0.0117405,0.1934315,0.279383,0.34373,0.6645925,0.660654,0.660654,0.1768795,0.26082,0.250667,0.3138235,0.0117405,1.0,0.623665,0.329684,0.239853,0.753517,0.769999,0.769999,0.1298535,0.263347,0.253291,0.222527,0.1934315,0.623665,1.0,0.425162,0.4564685,0.443959,0.4397555,0.439755,0.091322,0.1996905,0.205191,0.1777845,0.279383,0.329684,0.425162,1.0,0.5039945,0.486016,0.480586,0.4805855,0.104805,0.2002465,0.202933,0.139372,0.34373,0.239853,0.4564685,0.5039945,1.0
close_log_return,COST,1.0,0.9201125,0.9201125,0.1204305,0.2343885,0.2255545,0.202992,0.3045325,0.6661125,0.7451945,0.4338085,0.515943,0.9201125,1.0,1.0,0.119149,0.2476565,0.2386545,0.193014,0.307569,0.662103,0.768954,0.4245755,0.508595,0.9201125,1.0,1.0,0.119149,0.2476565,0.2386545,0.193014,0.307569,0.662103,0.768954,0.4245755,0.508595,0.1204305,0.119149,0.119149,1.0,0.32381,0.2897445,0.479209,0.1866325,0.1874525,0.126437,0.0467455,0.092426,0.2343885,0.2476565,0.2476565,0.32381,1.0,0.5754175,0.3925635,0.2028625,0.2324785,0.2625075,0.200313,0.2010815,0.2255545,0.2386545,0.2386545,0.2897445,0.5754175,1.0,0.3365175,0.2006975,0.218699,0.22598,0.20688,0.2037365,0.202992,0.193014,0.193014,0.479209,0.3925635,0.3365175,1.0,0.2354645,0.3729045,0.215244,0.1862725,0.0525765,0.3045325,0.307569,0.307569,0.1866325,0.2028625,0.2006975,0.2354645,1.0,0.0460755,0.2654635,0.3108055,0.3708115,0.6661125,0.662103,0.662103,0.1874525,0.2324785,0.218699,0.3729045,0.0460755,1.0,0.617809,0.3334035,0.2647805,0.7451945,0.768954,0.768954,0.126437,0.2625075,0.22598,0.215244,0.2654635,0.617809,1.0,0.4114675,0.48087,0.4338085,0.4245755,0.4245755,0.0467455,0.200313,0.20688,0.1862725,0.3108055,0.3334035,0.4114675,1.0,0.503685,0.515943,0.508595,0.508595,0.092426,0.2010815,0.2037365,0.0525765,0.3708115,0.2647805,0.48087,0.503685,1.0
close_log_return,LMT,1.0,0.9173695,0.9173695,0.113549,0.2569155,0.256782,0.21144,0.3591935,0.664822,0.754973,0.4239705,0.5255605,0.9173695,1.0,1.0,0.121319,0.282302,0.2745265,0.221106,0.3522555,0.661643,0.7708355,0.4126065,0.514443,0.9173695,1.0,1.0,0.121319,0.282302,0.2745265,0.221106,0.3522555,0.661643,0.7708355,0.4126065,0.514443,0.113549,0.121319,0.121319,1.0,0.345114,0.336728,0.4709985,0.183179,0.1929265,0.126844,0.006618,0.080097,0.2569155,0.282302,0.282302,0.345114,1.0,0.7988215,0.6534175,0.2010485,0.2615715,0.257158,0.2006785,0.2011355,0.256782,0.2745265,0.2745265,0.336728,0.7988215,1.0,0.611342,0.200831,0.2642525,0.2543845,0.1933015,0.19748,0.21144,0.221106,0.221106,0.4709985,0.6534175,0.611342,1.0,0.2083575,0.317073,0.208423,0.177986,0.129355,0.3591935,0.3522555,0.3522555,0.183179,0.2010485,0.200831,0.2083575,1.0,0.125586,0.3071015,0.302003,0.3708425,0.664822,0.661643,0.661643,0.1929265,0.2615715,0.2642525,0.317073,0.125586,1.0,0.6192755,0.326944,0.270965,0.754973,0.7708355,0.7708355,0.126844,0.257158,0.2543845,0.208423,0.3071015,0.6192755,1.0,0.403065,0.4876675,0.4239705,0.4126065,0.4126065,0.006618,0.2006785,0.1933015,0.177986,0.302003,0.326944,0.403065,1.0,0.486885,0.5255605,0.514443,0.514443,0.080097,0.2011355,0.19748,0.129355,0.3708425,0.270965,0.4876675,0.486885,1.0
close_log_return,CME,1.0,0.933207,0.933207,0.120267,0.251518,0.2515245,0.205164,0.3133495,0.664669,0.764603,0.436806,0.448627,0.933207,1.0,1.0,0.1244565,0.2611015,0.2537295,0.2073945,0.3136815,0.6629105,0.7710305,0.432423,0.4464885,0.933207,1.0,1.0,0.1244565,0.2611015,0.2537295,0.2073945,0.3136815,0.6629105,0.7710305,0.432423,0.4464885,0.120267,0.1244565,0.1244565,1.0,0.422019,0.409159,0.4715545,0.1684525,0.172675,0.1253165,0.0791215,0.1132665,0.251518,0.2611015,0.2611015,0.422019,1.0,0.785473,0.6575185,0.201925,0.2509425,0.275243,0.200883,0.200726,0.2515245,0.2537295,0.2537295,0.409159,0.785473,1.0,0.6063245,0.20181,0.249889,0.2625375,0.2012855,0.2026205,0.205164,0.2073945,0.2073945,0.4715545,0.6575185,0.6063245,1.0,0.2053255,0.3048825,0.2413975,0.1772915,0.1307265,0.3133495,0.3136815,0.3136815,0.1684525,0.201925,0.20181,0.2053255,1.0,0.065456,0.2718905,0.313923,0.355273,0.664669,0.6629105,0.6629105,0.172675,0.2509425,0.249889,0.3048825,0.065456,1.0,0.623997,0.330943,0.2105765,0.764603,0.7710305,0.7710305,0.1253165,0.275243,0.2625375,0.2413975,0.2718905,0.623997,1.0,0.4163355,0.4293235,0.436806,0.432423,0.432423,0.0791215,0.200883,0.2012855,0.1772915,0.313923,0.330943,0.4163355,1.0,0.5097345,0.448627,0.4464885,0.4464885,0.1132665,0.200726,0.2026205,0.1307265,0.355273,0.2105765,0.4293235,0.5097345,1.0
close_log_return,MSI,1.0,0.931276,0.9312765,0.1156635,0.2298815,0.2262275,0.192142,0.458246,0.6653005,0.746596,0.437772,0.54841,0.931276,1.0,0.9999995,0.1162135,0.235223,0.224877,0.1831795,0.465646,0.6651305,0.7655355,0.4320325,0.5432775,0.9312765,0.9999995,1.0,0.1162135,0.235223,0.224877,0.1831795,0.4656455,0.665131,0.7655355,0.4320325,0.543277,0.1156635,0.1162135,0.1162135,1.0,0.273788,0.2598505,0.4546765,0.181313,0.180917,0.1222995,0.0295555,0.0915305,0.2298815,0.235223,0.235223,0.273788,1.0,0.706955,0.342823,0.201067,0.228758,0.214688,0.199387,0.1994365,0.2262275,0.224877,0.224877,0.2598505,0.706955,1.0,0.3034575,0.200575,0.222914,0.209218,0.197176,0.1994015,0.192142,0.1831795,0.1831795,0.4546765,0.342823,0.3034575,1.0,0.2696105,0.3743015,0.181241,0.1436175,0.0379615,0.458246,0.465646,0.4656455,0.181313,0.201067,0.200575,0.2696105,1.0,0.2419575,0.375412,0.327219,0.3835125,0.6653005,0.6651305,0.665131,0.180917,0.228758,0.222914,0.3743015,0.2419575,1.0,0.6190735,0.33278,0.289041,0.746596,0.7655355,0.7655355,0.1222995,0.214688,0.209218,0.181241,0.375412,0.6190735,1.0,0.416344,0.511083,0.437772,0.4320325,0.4320325,0.0295555,0.199387,0.197176,0.1436175,0.327219,0.33278,0.416344,1.0,0.5021425,0.54841,0.5432775,0.543277,0.0915305,0.1994365,0.1994015,0.0379615,0.3835125,0.289041,0.511083,0.5021425,1.0
close_log_return,MMM,1.0,0.926349,0.926349,0.1324495,0.227797,0.228197,0.2745865,0.398271,0.6556395,0.7501495,0.4221825,0.5245545,0.926349,1.0,1.0,0.1378075,0.225047,0.213958,0.272522,0.4037675,0.6562815,0.7707825,0.413037,0.517777,0.926349,1.0,1.0,0.1378075,0.225047,0.213958,0.272522,0.4037675,0.6562815,0.7707825,0.413037,0.517777,0.1324495,0.1378075,0.1378075,1.0,0.3965675,0.3656125,0.4423305,0.1506225,0.1241795,0.1530675,0.0560995,0.1252155,0.227797,0.225047,0.225047,0.3965675,1.0,0.6538575,0.7158625,0.200367,0.2308975,0.280856,0.2003585,0.2001855,0.228197,0.213958,0.213958,0.3656125,0.6538575,1.0,0.559011,0.200947,0.238195,0.2778245,0.192698,0.196797,0.2745865,0.272522,0.272522,0.4423305,0.7158625,0.559011,1.0,0.192969,0.236003,0.3061745,0.2216445,0.2493525,0.398271,0.4037675,0.4037675,0.1506225,0.200367,0.200947,0.192969,1.0,0.136061,0.323797,0.2961695,0.3585845,0.6556395,0.6562815,0.6562815,0.1241795,0.2308975,0.238195,0.236003,0.136061,1.0,0.612102,0.310458,0.2661605,0.7501495,0.7707825,0.7707825,0.1530675,0.280856,0.2778245,0.3061745,0.323797,0.612102,1.0,0.3953965,0.4942025,0.4221825,0.413037,0.413037,0.0560995,0.2003585,0.192698,0.2216445,0.2961695,0.310458,0.3953965,1.0,0.511653,0.5245545,0.517777,0.517777,0.1252155,0.2001855,0.196797,0.2493525,0.3585845,0.2661605,0.4942025,0.511653,1.0
close_log_return,CMCSA,1.0,0.940464,0.9404635,0.139847,0.2478535,0.2410645,0.3011165,0.2106375,0.6535225,0.7700365,0.4308565,0.472145,0.940464,1.0,0.9999995,0.1374705,0.2356995,0.2287875,0.281485,0.2013375,0.6585035,0.7738275,0.429131,0.4639755,0.9404635,0.9999995,1.0,0.137471,0.2356995,0.2287875,0.281485,0.201338,0.6585035,0.7738275,0.4291305,0.4639755,0.139847,0.1374705,0.137471,1.0,0.3899775,0.362658,0.427204,0.1700585,0.134892,0.1515465,0.053163,0.127389,0.2478535,0.2356995,0.2356995,0.3899775,1.0,0.7846355,0.7560155,0.20141,0.250359,0.2985455,0.200827,0.2019995,0.2410645,0.2287875,0.2287875,0.362658,0.7846355,1.0,0.676171,0.200075,0.243588,0.2647095,0.201961,0.2017405,0.3011165,0.281485,0.281485,0.427204,0.7560155,0.676171,1.0,0.1960025,0.2439485,0.3307595,0.225518,0.2601075,0.2106375,0.2013375,0.201338,0.1700585,0.20141,0.200075,0.1960025,1.0,0.012367,0.2073265,0.2780225,0.3402495,0.6535225,0.6585035,0.6585035,0.134892,0.250359,0.243588,0.2439485,0.012367,1.0,0.611638,0.3148515,0.2241255,0.7700365,0.7738275,0.7738275,0.1515465,0.2985455,0.2647095,0.3307595,0.2073265,0.611638,1.0,0.4108565,0.4528525,0.4308565,0.429131,0.4291305,0.053163,0.200827,0.201961,0.225518,0.2780225,0.3148515,0.4108565,1.0,0.514565,0.472145,0.4639755,0.4639755,0.127389,0.2019995,0.2017405,0.2601075,0.3402495,0.2241255,0.4528525,0.514565,1.0
close_log_return,FAST,1.0,0.9354455,0.9354455,0.106824,0.23964,0.241618,0.194883,0.153011,0.663226,0.7506235,0.4369295,0.4918555,0.9354455,1.0,1.0,0.12141,0.264168,0.2629005,0.21316,0.161312,0.665084,0.7661015,0.43133,0.483616,0.9354455,1.0,1.0,0.12141,0.264168,0.2629005,0.21316,0.161312,0.665084,0.7661015,0.43133,0.483616,0.106824,0.12141,0.12141,1.0,0.370356,0.3610075,0.469562,0.1857755,0.191789,0.127026,0.035264,0.0877895,0.23964,0.264168,0.264168,0.370356,1.0,0.779486,0.636512,0.1999955,0.26319,0.2348615,0.201041,0.201199,0.241618,0.2629005,0.2629005,0.3610075,0.779486,1.0,0.587101,0.200478,0.264729,0.2318385,0.1982765,0.2002965,0.194883,0.21316,0.21316,0.469562,0.636512,0.587101,1.0,0.198775,0.3253005,0.192432,0.1774575,0.125516,0.153011,0.161312,0.161312,0.1857755,0.1999955,0.200478,0.198775,1.0,0.013156,0.1877465,0.287033,0.34301,0.663226,0.665084,0.665084,0.191789,0.26319,0.264729,0.3253005,0.013156,1.0,0.6165915,0.3207265,0.245933,0.7506235,0.7661015,0.7661015,0.127026,0.2348615,0.2318385,0.192432,0.1877465,0.6165915,1.0,0.414687,0.461446,0.4369295,0.43133,0.43133,0.035264,0.201041,0.1982765,0.1774575,0.287033,0.3207265,0.414687,1.0,0.5103,0.4918555,0.483616,0.483616,0.0877895,0.201199,0.2002965,0.125516,0.34301,0.245933,0.461446,0.5103,1.0
close_log_return,TEL,1.0,0.9345685,0.9345685,0.1322865,0.2275615,0.2247785,0.3532765,0.1728585,0.6476405,0.7594555,0.4084285,0.493251,0.9345685,1.0,1.0,0.137228,0.2310115,0.232016,0.3605055,0.171908,0.648244,0.7692625,0.402792,0.4905415,0.9345685,1.0,1.0,0.137228,0.2310115,0.232016,0.3605055,0.171908,0.648244,0.7692625,0.402792,0.4905415,0.1322865,0.137228,0.137228,1.0,0.29716,0.388563,0.3315195,0.1697655,0.114789,0.1430325,0.055656,0.1345145,0.2275615,0.2310115,0.2310115,0.29716,1.0,0.547849,0.401988,0.2004925,0.2281735,0.197951,0.2010055,0.200889,0.2247785,0.232016,0.232016,0.388563,0.547849,1.0,0.335119,0.198663,0.219869,0.212883,0.1956255,0.195504,0.3532765,0.3605055,0.3605055,0.3315195,0.401988,0.335119,1.0,0.2037665,0.3095365,0.3346575,0.227903,0.269063,0.1728585,0.171908,0.171908,0.1697655,0.2004925,0.198663,0.2037665,1.0,0.0027515,0.185338,0.2764005,0.330926,0.6476405,0.648244,0.648244,0.114789,0.2281735,0.219869,0.3095365,0.0027515,1.0,0.6119735,0.2932655,0.2402275,0.7594555,0.7692625,0.7692625,0.1430325,0.197951,0.212883,0.3346575,0.185338,0.6119735,1.0,0.3808485,0.468276,0.4084285,0.402792,0.402792,0.055656,0.2010055,0.1956255,0.227903,0.2764005,0.2932655,0.3808485,1.0,0.49749,0.493251,0.4905415,0.4905415,0.1345145,0.200889,0.195504,0.269063,0.330926,0.2402275,0.468276,0.49749,1.0
close_log_return,MNST,1.0,0.9188455,0.9188455,0.1613395,0.2565265,0.2459325,0.3620565,0.3139775,0.647568,0.7414795,0.4265495,0.5308405,0.9188455,1.0,1.0,0.171488,0.28232,0.259793,0.385353,0.311311,0.6493255,0.7628895,0.4152465,0.5198775,0.9188455,1.0,1.0,0.171488,0.28232,0.259793,0.385353,0.311311,0.6493255,0.7628895,0.4152465,0.5198775,0.1613395,0.171488,0.171488,1.0,0.2850665,0.288497,0.4318145,0.153611,0.121687,0.1634765,0.054968,0.171599,0.2565265,0.28232,0.28232,0.2850665,1.0,0.7188175,0.553342,0.202484,0.257172,0.225924,0.200721,0.2012385,0.2459325,0.259793,0.259793,0.288497,0.7188175,1.0,0.50302,0.199694,0.242324,0.2154915,0.2037905,0.2009365,0.3620565,0.385353,0.385353,0.4318145,0.553342,0.50302,1.0,0.201452,0.3019245,0.329755,0.257283,0.2899625,0.3139775,0.311311,0.311311,0.153611,0.202484,0.199694,0.201452,1.0,0.0693705,0.269812,0.288979,0.3525275,0.647568,0.6493255,0.6493255,0.121687,0.257172,0.242324,0.3019245,0.0693705,1.0,0.604387,0.305438,0.2670525,0.7414795,0.7628895,0.7628895,0.1634765,0.225924,0.2154915,0.329755,0.269812,0.604387,1.0,0.4015345,0.491942,0.4265495,0.4152465,0.4152465,0.054968,0.200721,0.2037905,0.257283,0.288979,0.305438,0.4015345,1.0,0.507775,0.5308405,0.5198775,0.5198775,0.171599,0.2012385,0.2009365,0.2899625,0.3525275,0.2670525,0.491942,0.507775,1.0
close_log_return,DIS,1.0,0.927265,0.927265,0.1121765,0.2333245,0.22964,0.2679495,0.2413795,0.655742,0.740443,0.4039085,0.541469,0.927265,1.0,0.999999,0.1155175,0.236747,0.232122,0.2730655,0.2415315,0.6567225,0.7720445,0.393551,0.5339205,0.927265,0.999999,1.0,0.1155175,0.236747,0.232122,0.2730655,0.2415315,0.656723,0.772044,0.3935505,0.5339205,0.1121765,0.1155175,0.1155175,1.0,0.404696,0.4003275,0.364333,0.1760195,0.129113,0.1324955,0.041309,0.1029225,0.2333245,0.236747,0.236747,0.404696,1.0,0.7020305,0.779923,0.201759,0.240278,0.2558235,0.2000365,0.199547,0.22964,0.232122,0.232122,0.4003275,0.7020305,1.0,0.6259045,0.2,0.2365305,0.260609,0.190189,0.1952725,0.2679495,0.2730655,0.2730655,0.364333,0.779923,0.6259045,1.0,0.197935,0.224724,0.279719,0.213951,0.2420755,0.2413795,0.2415315,0.2415315,0.1760195,0.201759,0.2,0.197935,1.0,0.0240485,0.2263145,0.2957945,0.348278,0.655742,0.6567225,0.656723,0.129113,0.240278,0.2365305,0.224724,0.0240485,1.0,0.605636,0.2862005,0.2815135,0.740443,0.7720445,0.772044,0.1324955,0.2558235,0.260609,0.279719,0.2263145,0.605636,1.0,0.373995,0.5063905,0.4039085,0.393551,0.3935505,0.041309,0.2000365,0.190189,0.213951,0.2957945,0.2862005,0.373995,1.0,0.50337,0.541469,0.5339205,0.5339205,0.1029225,0.199547,0.1952725,0.2420755,0.348278,0.2815135,0.5063905,0.50337,1.0
close_log_return,SYY,1.0,0.8922,0.8922,0.1037935,0.2376315,0.236774,0.201383,0.431926,0.6593485,0.747258,0.4573465,0.6138295,0.8922,1.0,1.0,0.111904,0.257779,0.2511975,0.207492,0.4175805,0.652907,0.7629495,0.4429485,0.5967055,0.8922,1.0,1.0,0.111904,0.257779,0.2511975,0.207492,0.4175805,0.652907,0.7629495,0.4429485,0.5967055,0.1037935,0.111904,0.111904,1.0,0.3786425,0.3779245,0.446563,0.172554,0.177733,0.122775,0.0175875,0.0831565,0.2376315,0.257779,0.257779,0.3786425,1.0,0.817827,0.699981,0.2008615,0.2455905,0.2445555,0.2002745,0.2003685,0.236774,0.2511975,0.2511975,0.3779245,0.817827,1.0,0.6582745,0.2013495,0.2455,0.2492305,0.1971925,0.2009655,0.201383,0.207492,0.207492,0.446563,0.699981,0.6582745,1.0,0.2091265,0.287435,0.2067445,0.1869745,0.1480795,0.431926,0.4175805,0.4175805,0.172554,0.2008615,0.2013495,0.2091265,1.0,0.206306,0.3554535,0.3162995,0.3835705,0.6593485,0.652907,0.652907,0.177733,0.2455905,0.2455,0.287435,0.206306,1.0,0.613727,0.3411175,0.342534,0.747258,0.7629495,0.7629495,0.122775,0.2445555,0.2492305,0.2067445,0.3554535,0.613727,1.0,0.4273095,0.5608615,0.4573465,0.4429485,0.4429485,0.0175875,0.2002745,0.1971925,0.1869745,0.3162995,0.3411175,0.4273095,1.0,0.51219,0.6138295,0.5967055,0.5967055,0.0831565,0.2003685,0.2009655,0.1480795,0.3835705,0.342534,0.5608615,0.51219,1.0
close_log_return,CVS,1.0,0.9295521401974088,0.9295521401974088,0.1201031994764759,0.277929821847095,0.2648176760464732,0.2769722578230681,0.022281134943351,0.6712105658199822,0.756799645408606,0.3753264185223825,0.4378670574977472,0.9295521401974088,1.0,1.0,0.130561136699582,0.2918991756168239,0.2757178071365699,0.2847697142152261,0.0244011566035329,0.6717855223846271,0.7681743770084278,0.3689809887998461,0.4268435720901448,0.9295521401974088,1.0,1.0,0.130561136699582,0.2918991756168239,0.2757178071365699,0.2847697142152261,0.0244011566035329,0.6717855223846271,0.7681743770084278,0.3689809887998461,0.4268435720901448,0.1201031994764759,0.130561136699582,0.130561136699582,1.0,0.4138830057474749,0.390812612247202,0.4282213770941486,0.1895370449741478,0.157966702697278,0.135967819158389,0.015249938845529,0.0981095428154473,0.277929821847095,0.2918991756168239,0.2918991756168239,0.4138830057474749,1.0,0.7665258197312549,0.8506126946227971,0.2014846423874705,0.2921448388762631,0.2738716738762735,0.1999772108125286,0.2007758777495991,0.2648176760464732,0.2757178071365699,0.2757178071365699,0.390812612247202,0.7665258197312549,1.0,0.7324413492035283,0.2022634471886714,0.2738371764823948,0.2583812986491657,0.2094117253505667,0.2041953012458786,0.2769722578230681,0.2847697142152261,0.2847697142152261,0.4282213770941486,0.8506126946227971,0.7324413492035283,1.0,0.2057696368574337,0.2693441522735873,0.2726945809821094,0.2062086945977081,0.2139444738311133,0.022281134943351,0.0244011566035329,0.0244011566035329,0.1895370449741478,0.2014846423874705,0.2022634471886714,0.2057696368574337,1.0,0.0007233998958805,0.0975283139973698,0.231517237197808,0.3100155342810011,0.6712105658199822,0.6717855223846271,0.6717855223846271,0.157966702697278,0.2921448388762631,0.2738371764823948,0.2693441522735873,0.0007233998958805,1.0,0.629077748762798,0.289434180017855,0.209722201895475,0.756799645408606,0.7681743770084278,0.7681743770084278,0.135967819158389,0.2738716738762735,0.2583812986491657,0.2726945809821094,0.0975283139973698,0.629077748762798,1.0,0.3659838970346876,0.4125637417755077,0.3753264185223825,0.3689809887998461,0.3689809887998461,0.015249938845529,0.1999772108125286,0.2094117253505667,0.2062086945977081,0.231517237197808,0.289434180017855,0.3659838970346876,1.0,0.487793149444801,0.4378670574977472,0.4268435720901448,0.4268435720901448,0.0981095428154473,0.2007758777495991,0.2041953012458786,0.2139444738311133,0.3100155342810011,0.209722201895475,0.4125637417755077,0.487793149444801,1.0
close_log_return,DE,1.0,0.9157515,0.915752,0.104607,0.2134305,0.217615,0.180014,0.260713,0.6643585,0.749242,0.4464915,0.5402775,0.9157515,1.0,0.9999995,0.11257,0.2427645,0.236168,0.183991,0.2654035,0.662056,0.7669455,0.4354205,0.5296,0.915752,0.9999995,1.0,0.11257,0.2427645,0.236168,0.183991,0.2654035,0.662056,0.7669455,0.43542,0.5296,0.104607,0.11257,0.11257,1.0,0.2312515,0.231611,0.4071795,0.179453,0.1798475,0.1185225,0.00931,0.086942,0.2134305,0.2427645,0.2427645,0.2312515,1.0,0.7389175,0.4433625,0.192102,0.2132945,0.211242,0.1987715,0.194611,0.217615,0.236168,0.236168,0.231611,0.7389175,1.0,0.4208515,0.1994595,0.2207595,0.2140895,0.201243,0.1995835,0.180014,0.183991,0.183991,0.4071795,0.4433625,0.4208515,1.0,0.2149475,0.341392,0.1737515,0.1666225,0.070606,0.260713,0.2654035,0.2654035,0.179453,0.192102,0.1994595,0.2149475,1.0,0.0336545,0.24124,0.2930245,0.3606805,0.6643585,0.662056,0.662056,0.1798475,0.2132945,0.2207595,0.341392,0.0336545,1.0,0.6163695,0.3495175,0.2830335,0.749242,0.7669455,0.7669455,0.1185225,0.211242,0.2140895,0.1737515,0.24124,0.6163695,1.0,0.423268,0.5019335,0.4464915,0.4354205,0.43542,0.00931,0.1987715,0.201243,0.1666225,0.2930245,0.3495175,0.423268,1.0,0.497575,0.5402775,0.5296,0.5296,0.086942,0.194611,0.1995835,0.070606,0.3606805,0.2830335,0.5019335,0.497575,1.0
